,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
3.775000,135.204865,65.851196,2579.940186,-0.020500,-0.028066,0.004566,1
3.787000,135.203720,65.851913,2579.924561,-0.038840,-0.050242,0.001730,1
3.800000,135.208679,65.848244,2579.927734,-0.100248,-0.026856,0.003994,1
3.812000,135.205795,65.854530,2579.944824,-0.034033,-0.005456,0.002118,1
3.825000,135.207199,65.851883,2579.943115,-0.055880,0.021126,0.001551,1
3.837000,135.207184,65.847183,2579.915771,-0.062633,-0.036442,0.004094,1
3.850000,135.204941,65.849861,2579.938477,-0.058340,0.010858,0.000588,1
3.862000,135.205170,65.851730,2579.915771,-0.043337,-0.017095,-0.004697,1
3.875000,135.206314,65.851555,2579.911865,-0.074264,0.038005,-0.000335,1
3.887000,135.205521,65.852959,2579.917969,-0.049502,-0.076716,0.005418,1
3.900000,135.207413,65.849564,2579.920166,0.028179,0.044531,0.005589,1
3.912000,135.207626,65.846535,2579.935059,-0.022852,-0.005914,0.002597,1
3.925000,135.206100,65.847176,2579.918213,0.022034,-0.033771,0.005356,1
3.937000,135.206039,65.849808,2579.927002,-0.051945,-0.020751,0.005219,1
3.950000,135.203674,65.850647,2579.919189,-0.048030,-0.019805,0.010201,1
3.962000,135.204742,65.848190,2579.920166,0.015289,0.062883,0.012186,1
3.975000,135.203537,65.848061,2579.943115,-0.055915,0.069671,0.000952,1
3.987000,135.208115,65.848808,2579.935791,-0.057188,0.110544,0.005428,1
4.000000,135.202805,65.847427,2579.952148,-0.066287,0.046920,0.008565,1
4.012000,135.204224,65.848885,2579.926025,-0.035520,0.026627,0.007108,1
4.025000,135.206085,65.852692,2579.937012,-0.087874,0.033675,0.002811,1
4.037000,135.205566,65.851898,2579.949951,-0.032092,0.075875,-0.002905,1
4.050000,135.206039,65.847214,2579.930908,-0.004102,0.021345,0.008508,1
4.062000,135.208298,65.850945,2579.914307,-0.080282,0.011091,0.009228,1
4.075000,135.209671,65.848282,2579.925537,-0.007497,-0.015590,0.007591,1
4.087000,135.204773,65.851357,2579.927002,-0.016951,0.005859,0.008135,1
4.100000,135.205933,65.850006,2579.924561,-0.019777,0.057381,0.006973,1
4.112000,135.207581,65.851143,2579.927490,-0.028434,-0.049593,0.011937,1
4.125000,135.206161,65.851212,2579.939941,-0.031527,0.026336,0.002523,1
4.137000,135.204971,65.847656,2579.919189,-0.012284,-0.092690,0.004472,1
4.150000,135.203445,65.846840,2579.914307,-0.045741,-0.004581,0.003657,1
4.162000,135.207031,65.849388,2579.942139,-0.016312,-0.041050,-0.001333,1
4.175000,135.202942,65.844803,2579.929443,-0.060192,-0.012639,0.002828,1
4.187000,135.203476,65.851112,2579.926025,-0.042432,0.014585,0.002524,1
4.200000,135.202759,65.849373,2579.937500,-0.032559,0.025564,0.004153,1
4.212000,135.205948,65.851830,2579.928955,-0.050750,0.009534,-0.001938,1
4.225000,135.205353,65.851860,2579.921387,0.002927,-0.019570,0.010205,1
4.237000,135.202393,65.849174,2579.923828,-0.012994,-0.023599,0.007694,1
4.250000,135.205811,65.850014,2579.929688,-0.099440,0.031549,0.002324,1
4.262000,135.205032,65.853622,2579.926025,-0.066521,0.047266,0.004410,1
4.275000,135.204620,65.847893,2579.931885,-0.045040,0.013546,0.007362,1
4.287000,135.207199,65.850365,2579.928223,-0.029741,-0.061735,0.000450,1
4.300000,135.206055,65.850983,2579.934082,-0.072098,-0.015000,0.007281,1
4.312000,135.206787,65.847389,2579.913818,-0.029729,-0.021272,0.004923,1
4.325000,135.205627,65.850624,2579.921143,-0.029371,0.044790,0.004851,1
