,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
3.375000,-165.839874,62.011276,2855.747559,22.843340,-10.548628,-8.664230,1
3.387000,-165.841171,62.008343,2855.780518,22.787315,-10.426424,-8.663527,1
3.400000,-165.838211,62.010612,2855.749756,22.812212,-10.514950,-8.665138,1
3.412000,-165.837006,62.011684,2855.746094,22.812925,-10.432583,-8.665812,1
3.425000,-165.836777,62.011795,2855.731201,22.773891,-10.448442,-8.670031,1
3.437000,-165.835953,62.005779,2855.731201,22.844395,-10.454375,-8.662478,1
3.450000,-165.838333,62.011322,2855.750000,22.862192,-10.403476,-8.656778,1
3.462000,-165.840622,62.011955,2855.768799,22.772545,-10.481223,-8.669414,1
3.475000,-165.835892,62.012817,2855.759521,22.806356,-10.443117,-8.664466,1
3.487000,-165.839050,62.011589,2855.751221,22.834211,-10.435944,-8.661476,1
3.500000,-165.838409,62.012939,2855.763672,22.853228,-10.393476,-8.654655,1
3.512000,-165.840027,62.011959,2855.751465,22.805841,-10.462120,-8.659140,1
3.525000,-165.841843,62.009689,2855.743652,22.865875,-10.508180,-8.657091,1
3.537000,-165.834946,62.009617,2855.758789,22.860283,-10.422266,-8.652256,1
3.550000,-165.836121,62.012276,2855.752930,22.814287,-10.500003,-8.663956,1
3.562000,-165.841766,62.013714,2855.762695,22.795315,-10.446409,-8.663960,1
3.575000,-165.840546,62.009647,2855.760986,22.759733,-10.463511,-8.669749,1
3.587000,-165.840652,62.009506,2855.760254,22.851576,-10.501795,-8.661427,1
3.600000,-165.844482,62.009167,2855.775879,22.851809,-10.498674,-8.664523,1
3.612000,-165.838135,62.010990,2855.762207,22.864092,-10.400143,-8.653571,1
3.625000,-165.840317,62.009125,2855.768066,22.822802,-10.412227,-8.657644,1
3.637000,-165.840897,62.006657,2855.747559,22.841873,-10.507071,-8.658010,1
3.650000,-165.839600,62.007069,2855.772461,22.755251,-10.484836,-8.659657,1
3.662000,-165.839859,62.014683,2855.749756,22.838432,-10.450752,-8.665354,1
3.675000,-165.843613,62.010078,2855.763672,22.844093,-10.481314,-8.659624,1
3.687000,-165.840576,62.012363,2855.757324,22.870201,-10.475995,-8.664667,1
3.700000,-165.838577,62.008545,2855.736816,22.761190,-10.484249,-8.665339,1
3.712000,-165.836227,62.008144,2855.744141,22.865368,-10.473471,-8.663935,1
3.725000,-165.840378,62.010479,2855.735840,22.791571,-10.477888,-8.658590,1
3.737000,-165.837265,62.008926,2855.760254,22.842068,-10.496929,-8.662066,1
3.750000,-165.842575,62.008575,2855.762207,22.899876,-10.498647,-8.659227,1
3.762000,-165.840469,62.011906,2855.757812,22.784332,-10.479686,-8.656113,1
3.775000,-165.842804,62.007538,2855.759277,22.842916,-10.518226,-8.669585,1
3.787000,-165.838730,62.007912,2855.760986,22.830761,-10.470195,-8.675388,1
3.800000,-165.842041,62.011189,2855.751953,22.854290,-10.498728,-8.665695,1
3.812000,-165.841553,62.009361,2855.776367,22.833952,-10.459864,-8.657322,1
3.825000,-165.839066,62.011158,2855.766602,22.801430,-10.462667,-8.667530,1
3.837000,-165.839325,62.010353,2855.756348,22.768850,-10.482096,-8.671263,1
3.850000,-165.839661,62.013100,2855.729736,22.833323,-10.506079,-8.667799,1
3.862000,-165.838287,62.009953,2855.766113,22.777946,-10.435704,-8.653709,1
3.875000,-165.839294,62.006344,2855.760498,22.878450,-10.460424,-8.658222,1
3.887000,-165.841034,62.010551,2855.769043,22.819712,-10.490636,-8.668688,1
3.900000,-165.838364,62.011925,2855.739258,22.842600,-10.546405,-8.668130,1
3.912000,-165.842117,62.007542,2855.781982,22.832003,-10.438028,-8.661876,1
3.925000,-165.841553,62.008446,2855.757324,22.748419,-10.434593,-8.664991,1
