 X, Y, Z,Yaw,Pitch, Roll
17.721,34.003,4.253,-87.8134,-0.7713,-0.4477
17.718,34.004,4.252,-87.8048,-0.7723,-0.447
17.715,34.005,4.252,-87.7962,-0.7732,-0.4463
17.712,34.006,4.251,-87.7876,-0.7742,-0.4456
17.709,34.007,4.251,-87.779,-0.7751,-0.4449
17.706,34.008,4.251,-87.7704,-0.7761,-0.4442
17.703,34.009,4.25,-87.7618,-0.777,-0.4435
17.7,34.01,4.25,-87.7532,-0.778,-0.4428
17.697,34.011,4.25,-87.7447,-0.7789,-0.4421
17.694,34.012,4.249,-87.7361,-0.7799,-0.4414
17.691,34.013,4.249,-87.7275,-0.7808,-0.4407
17.688,34.014,4.248,-87.719,-0.7817,-0.44
17.685,34.015,4.248,-87.7105,-0.7827,-0.4393
17.682,34.016,4.248,-87.702,-0.7836,-0.4386
17.679,34.017,4.247,-87.6934,-0.7845,-0.4379
17.676,34.018,4.247,-87.6849,-0.7854,-0.4372
17.673,34.019,4.247,-87.6764,-0.7864,-0.4365
17.67,34.02,4.246,-87.6679,-0.7873,-0.4358
17.667,34.021,4.246,-87.6594,-0.7882,-0.4351
17.664,34.022,4.245,-87.651,-0.7891,-0.4345
17.661,34.023,4.245,-87.6425,-0.7901,-0.4338
17.658,34.024,4.245,-87.634,-0.791,-0.4331
17.655,34.025,4.244,-87.6256,-0.7919,-0.4324
17.652,34.026,4.244,-87.6171,-0.7928,-0.4317
17.649,34.027,4.244,-87.6087,-0.7938,-0.431
17.647,34.027,4.243,-87.6003,-0.7947,-0.4303
17.644,34.028,4.243,-87.5919,-0.7956,-0.4297
17.641,34.029,4.243,-87.5835,-0.7965,-0.429
17.638,34.03,4.242,-87.5751,-0.7975,-0.4283
17.635,34.031,4.242,-87.5667,-0.7984,-0.4276
17.632,34.032,4.241,-87.5583,-0.7993,-0.4269
17.629,34.033,4.241,-87.5499,-0.8002,-0.4263
17.626,34.034,4.241,-87.5416,-0.8011,-0.4256
17.623,34.035,4.24,-87.5332,-0.802,-0.4249
17.62,34.036,4.24,-87.5249,-0.8029,-0.4242
17.617,34.037,4.24,-87.5165,-0.8038,-0.4235
17.614,34.038,4.239,-87.5082,-0.8048,-0.4229
17.612,34.039,4.239,-87.4999,-0.8056,-0.4222
17.609,34.04,4.239,-87.4915,-0.8065,-0.4215
17.606,34.041,4.238,-87.4832,-0.8075,-0.4208
17.603,34.042,4.238,-87.475,-0.8084,-0.4201
17.6,34.043,4.237,-87.4667,-0.8093,-0.4195
17.597,34.044,4.237,-87.4584,-0.8102,-0.4188
17.594,34.044,4.237,-87.4501,-0.8111,-0.4181
17.591,34.045,4.236,-87.4419,-0.812,-0.4174
17.588,34.046,4.236,-87.4336,-0.8129,-0.4168
17.586,34.047,4.236,-87.4254,-0.8138,-0.4161
17.583,34.048,4.235,-87.4171,-0.8147,-0.4154
17.58,34.049,4.235,-87.4089,-0.8156,-0.4148
17.577,34.05,4.235,-87.4007,-0.8165,-0.4141
17.574,34.051,4.234,-87.3925,-0.8174,-0.4135
17.571,34.052,4.234,-87.3843,-0.8183,-0.4128
17.568,34.053,4.234,-87.3761,-0.8192,-0.4121
17.566,34.054,4.233,-87.3679,-0.8201,-0.4115
17.563,34.055,4.233,-87.3597,-0.821,-0.4108
17.56,34.056,4.232,-87.3515,-0.8219,-0.4101
17.557,34.057,4.232,-87.3434,-0.8227,-0.4094
17.554,34.058,4.232,-87.3352,-0.8236,-0.4088
17.551,34.058,4.231,-87.3271,-0.8245,-0.4081
17.548,34.059,4.231,-87.3189,-0.8254,-0.4074
17.545,34.06,4.231,-87.3108,-0.8263,-0.4068
17.543,34.061,4.23,-87.3027,-0.8271,-0.4061
17.54,34.062,4.23,-87.2946,-0.828,-0.4054
17.537,34.063,4.23,-87.2865,-0.8289,-0.4048
17.534,34.064,4.229,-87.2784,-0.8298,-0.4041
17.531,34.065,4.229,-87.2703,-0.8307,-0.4035
17.528,34.066,4.229,-87.2622,-0.8315,-0.4028
17.526,34.067,4.228,-87.2542,-0.8325,-0.4022
17.523,34.068,4.228,-87.2461,-0.8334,-0.4015
17.52,34.069,4.228,-87.2381,-0.8342,-0.4009
17.517,34.07,4.227,-87.23,-0.8351,-0.4002
17.515,34.07,4.227,-87.222,-0.836,-0.3996
17.512,34.071,4.226,-87.2139,-0.8369,-0.3989
17.509,34.072,4.226,-87.2059,-0.8377,-0.3983
17.506,34.073,4.226,-87.1979,-0.8386,-0.3976
17.504,34.074,4.225,-87.1899,-0.8395,-0.397
17.501,34.075,4.225,-87.1819,-0.8404,-0.3963
17.498,34.076,4.225,-87.1739,-0.8412,-0.3957
17.495,34.077,4.224,-87.1659,-0.8421,-0.395
17.492,34.078,4.224,-87.158,-0.843,-0.3944
17.49,34.078,4.224,-87.15,-0.8439,-0.3938
17.487,34.079,4.223,-87.142,-0.8448,-0.3931
17.484,34.08,4.223,-87.1341,-0.8457,-0.3925
17.481,34.081,4.223,-87.1262,-0.8465,-0.3919
17.479,34.082,4.222,-87.1182,-0.8474,-0.3912
17.475,34.083,4.222,-87.1103,-0.8483,-0.3906
17.472,34.084,4.222,-87.1024,-0.8492,-0.39
17.47,34.085,4.221,-87.0945,-0.8501,-0.3893
17.467,34.086,4.221,-87.0866,-0.851,-0.3887
17.465,34.087,4.221,-87.0787,-0.8518,-0.3881
17.462,34.088,4.22,-87.0708,-0.8527,-0.3875
17.459,34.089,4.22,-87.0629,-0.8535,-0.3868
17.456,34.089,4.22,-87.0551,-0.8544,-0.3862
17.454,34.09,4.219,-87.0472,-0.8553,-0.3856
17.451,34.091,4.219,-87.0394,-0.8561,-0.3849
17.448,34.092,4.219,-87.0315,-0.857,-0.3843
